"model","mu","est.mean","est.var","est.bias","mse.part","mse.sum.part","mae.part","est.esss","abserr.part","cov.part","hpd.part","num_iterations","numsources","diff1","diff2","k","outcome_type","truep","diff1_c","diff2_c"
"relaxedMEM_twosource",1,0.994558629940916,0.0132643145957801,-0.00544137005908363,0.0132939231039,0.0132806587893042,0.0838369502892845,36.7409843606382,0.00544137005908363,0.987,0.556260877959623,1000,3,0,0,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0"
"MEM",1,1.01348647834994,0.0144211895627995,0.0134864783499407,0.0146030746610829,0.0145886534715201,0.0896516861802232,35.9775546425095,0.0134864783499407,0.986,0.565421355418641,1000,3,0,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0.1"
"relaxedMEM_allornothing",1,1.01543493129106,0.0138391719569193,0.0154349312910618,0.0140774090608791,0.0140635698889222,0.085793017230893,60,0.0154349312910618,0.985,0.469001462693558,1000,3,0,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0.1"
"relaxedMEM_max",1,1.01446433766205,0.0137890411929352,0.0144643376620519,0.0139982582569371,0.0139844692157441,0.086691006173017,37.0898311568041,0.0144643376620519,0.987,0.557596000629768,1000,3,0,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0.1"
"relaxedMEM_sqrtmax",1,1.01489973464774,0.0136924509132137,0.01489973464774,0.0139144530057868,0.0139007605548736,0.0857051356555959,45.8836282028377,0.01489973464774,0.988,0.526731553882475,1000,3,0,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0.1"
"relaxedMEM_stretch1",1,1.01562938930234,0.0135460875093872,0.0156293893023389,0.0137903653193512,0.0137768192318419,0.0847541868494341,58.219325908678,0.0156293893023389,0.986,0.486648039217321,1000,3,0,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0.1"
"relaxedMEM_stretchsqrt",1,1.01423871893645,0.0141180435214526,0.014238718936449,0.0143207846384038,0.0143066665948824,0.087647714310411,45.0627992332216,0.014238718936449,0.987,0.53244499694804,1000,3,0,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0.1"
"relaxedMEM_twosource",1,1.01051049523635,0.0171737161596392,0.0105104952363542,0.0172841866697526,0.017267012953593,0.0990487948745279,35.9775546425095,0.0105104952363542,0.988,0.575333622272341,1000,3,0,0.1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 0.1"
"MEM",1,0.995184632778607,0.0227944580972559,-0.00481536722139264,0.0228176458587328,0.0227948514006355,0.112903275741718,17.4328913015348,0.00481536722139264,0.972,0.642675645975877,1000,3,0,1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 1"
"relaxedMEM_allornothing",1,0.994983267165939,0.0211498790434083,-0.0050167328340609,0.0211750466517366,0.0211538967726932,0.101154695875953,30,0.0050167328340609,0.969,0.56731782790528,1000,3,0,1,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = 1"
